Time,X-Moto,Y-Moto,Z-Moto,X-E4,Y-E4,Z-E4
18:21:03.212,,,,0.234375,0.015625,0.953125
18:21:03.213,,,,0.234375,0.015625,0.953125
18:21:03.213,,,,0.21875,0.015625,0.953125
18:21:03.213,,,,0.21875,0.015625,0.953125
18:21:03.213,,,,0.21875,0.03125,0.96875
18:21:03.213,,,,0.21875,0.03125,0.96875
18:21:03.241,0.06536111,-0.2907631,0.051568225,,,
18:21:03.287,0.058825,-0.2616868,0.046411373,,,
18:21:03.334,0.0529425,-0.23551811,0.041770227,,,
18:21:03.355,,,,0.21875,0.03125,0.984375
18:21:03.355,,,,0.21875,0.03125,0.984375
18:21:03.355,,,,0.21875,0.015625,0.96875
18:21:03.356,,,,0.234375,0.015625,0.953125
18:21:03.356,,,,0.203125,0.015625,0.953125
18:21:03.356,,,,0.25,0.03125,0.953125
18:21:03.378,0.04764825,-0.21196629,0.03759324,,,
18:21:03.418,0.042883422,-0.19076966,0.03383394,,,
18:21:03.464,0.015963236,-0.21102375,0.07593393,,,
18:21:03.508,,,,0.234375,0.03125,0.953125
18:21:03.508,,,,0.234375,0.03125,0.953125
18:21:03.509,,,,0.21875,0.03125,0.953125
18:21:03.510,0.02755051,-0.19014111,0.05845278,0.234375,0.03125,0.9375
18:21:03.510,0.02755051,-0.19014111,0.05845278,0.21875,0.03125,0.9375
18:21:03.510,0.02755051,-0.19014111,0.05845278,,,
18:21:03.532,,,,0.234375,0.046875,0.953125
18:21:03.538,0.0026030722,-0.16519438,0.0504102,,,
18:21:03.578,0.013329094,-0.17064759,0.057893608,,,
18:21:03.618,0.0319913,-0.12457893,0.043534886,,,
18:21:03.662,0.17864569,0.10650689,0.19760424,,,
18:21:03.705,,,,0.25,0.046875,0.96875
18:21:03.705,,,,0.28125,0.03125,0.96875
18:21:03.706,0.08893053,-0.08366039,0.056335017,0.203125,0.046875,0.921875
18:21:03.706,0.08893053,-0.08366039,0.056335017,0.21875,0.046875,0.9375
18:21:03.706,0.08893053,-0.08366039,0.056335017,0.25,0.046875,0.96875
18:21:03.706,0.08893053,-0.08366039,0.056335017,0.25,0.046875,0.96875
18:21:03.706,0.08893053,-0.08366039,0.056335017,,,
18:21:03.738,0.12530115,-0.075294346,0.050701555,,,
18:21:03.778,0.10881596,-0.031729758,0.024098178,,,
18:21:03.818,0.06124002,0.014509627,0.010262552,,,
18:21:03.859,0.012928512,0.008444402,0.025496017,,,
18:21:03.898,-0.030332109,-0.017448865,0.032834135,,,
18:21:03.916,,,,0.234375,0.03125,0.96875
18:21:03.918,,,,0.265625,0.03125,0.953125
18:21:03.920,,,,0.25,0.03125,0.96875
18:21:03.939,-0.09607332,-0.018120969,-0.03504895,,,
18:21:03.952,,,,0.25,0.03125,0.96875
18:21:03.953,,,,0.25,0.046875,0.96875
18:21:03.964,,,,0.234375,0.03125,0.953125
18:21:03.979,-0.13085076,-0.04091825,-0.04318956,,,
