Time,X,Y,Z
12:52:36.089,-5.8348326E-4,3.7115693E-4,-1.766991E-4
12:52:36.124,-0.004040758,-0.0027421305,-0.0014773873
12:52:36.173,-0.0020985967,0.002366067,-0.0033072003
12:52:36.204,-7.901012E-4,-0.0013861647,-0.004953993
12:52:36.245,-4.913653E-4,-8.080951E-4,-5.0354865E-4
12:52:36.286,-0.0041775825,-0.0013864653,-0.0030899488
12:52:36.330,-4.6392326E-4,-3.6891262E-4,-0.0045388425
12:52:36.373,6.811017E-4,5.468851E-4,0.0014082441
12:52:36.404,0.0010524451,-0.0010458897,0.0012674294
12:52:36.444,-0.0030078748,-2.8212095E-4,-8.3681656E-4
12:52:36.485,-0.0018281811,0.0023828102,0.0010046661
12:52:36.529,-0.0012059112,-0.0011513697,0.0042000315
12:52:36.573,-0.002403678,0.0011610328,-0.0023722607
12:52:36.604,2.536828E-4,-0.001591789,-0.003892826
12:52:36.645,-4.3086815E-4,-7.7343045E-4,-0.003064081
12:52:36.685,-0.0017061383,-3.6907786E-5,-0.0034167985
12:52:36.728,-0.0021947047,-3.3216933E-5,0.0028574297
12:52:36.768,0.0017601168,-0.0031060674,0.0025717157
12:52:36.805,0.002243283,-5.98195E-4,-0.003618004
12:52:36.845,-1.783128E-4,-3.1864885E-4,0.0031158167
12:52:36.885,-0.0010393866,0.001251302,-0.002249437
12:52:36.925,-0.0029129884,-0.003927539,-0.0029034277
12:52:36.964,0.0017728441,-0.0019966995,0.0020011635
12:52:37.004,-3.8197992E-4,-2.589433E-4,-0.0025934994
12:52:37.045,-0.0014424146,0.0021839428,-0.0016748974
12:52:37.085,-0.0021770785,-2.3171699E-4,-0.0045836736
12:52:37.125,-0.001519918,0.0022084473,-0.0025871783
12:52:37.165,-4.8901926E-4,0.0011086961,0.0020660276
12:52:37.204,0.0010979692,0.0016570061,-0.0031942956
12:52:37.245,-0.0029669062,0.003908298,-0.002655057
12:52:37.295,-0.0015715808,-0.0024151495,-4.1194132E-4
12:52:37.335,0.0018814758,6.828108E-4,0.0013870442
12:52:37.375,-0.0018222976,-0.0011432829,-0.0022673304
12:52:37.415,0.0012163775,0.0020472172,0.003232903
12:52:37.455,-0.0026406096,-1.3504327E-4,0.004008162
12:52:37.495,0.0011390747,0.00119682,-0.002984435
12:52:37.534,-0.0018312777,-0.0017793073,0.0030269325
12:52:37.575,0.0031858352,-6.3290405E-5,-3.5193947E-4
12:52:37.615,0.0024277982,-0.004451493,0.0014410167
12:52:37.654,-0.0013306071,1.6846115E-4,-0.0015594644
12:52:37.695,-5.383664E-4,-0.0035837363,-0.0025021837
12:52:37.745,-7.0425577E-4,0.0016086216,0.0049990187
12:52:37.785,0.0033212465,0.004084478,-0.0016532112
12:52:37.825,0.0018904895,8.195855E-4,-0.0017076698
12:52:37.865,0.0028000716,-0.0029977246,-0.0061512096
12:52:37.905,9.819801E-4,1.5849326E-4,-4.288624E-5
12:52:37.947,-0.002192389,-0.0022743482,0.009189909
12:52:37.985,4.3883033E-6,-0.0013877336,0.0010200313
12:52:38.025,0.0013223107,0.0018272116,-0.0025975837
12:52:38.065,3.111714E-4,0.0012050375,0.008648531
12:52:38.105,-1.5939811E-4,0.0021831663,3.1294316E-4
12:52:38.145,-8.026371E-4,-4.5214262E-4,0.0016000166
12:52:38.185,5.959887E-4,-0.002604194,0.0027583342
12:52:38.225,-0.0029792385,-1.46509E-4,5.0491013E-4
12:52:38.265,-0.0015826792,-5.7131134E-4,0.0039700405
12:52:38.305,-5.4550497E-4,-0.0033706254,0.003353393
12:52:38.345,-9.3040837E-4,0.001800421,-4.9761654E-4
12:52:38.385,2.6126512E-4,-0.0016755193,-0.006160837
12:52:38.425,0.001992952,2.4984533E-4,0.001266846
12:52:38.465,-0.001282515,4.445873E-4,-0.008308164
12:52:38.505,0.00236136,-0.0015774107,0.0013117744
12:52:38.546,0.001905496,7.775958E-4,0.0055751144
12:52:38.585,-0.0011414997,0.0028971017,0.0039188885
12:52:38.625,0.0016093707,-0.0022265925,-0.0017464717
12:52:38.664,-9.685599E-4,0.0019511448,8.451799E-4
12:52:38.704,-0.0021900611,0.0010968505,-0.0051720226
12:52:38.755,-0.0015316029,5.4771244E-4,3.9891014E-4
12:52:38.795,-2.7981205E-4,4.9294106E-4,-0.0064525804
12:52:38.835,-0.0013504638,-0.0019733454,1.2535231E-4
12:52:38.875,-0.0027535053,4.212547E-4,5.5226975E-4
12:52:38.915,-9.400663E-4,-4.997769E-4,-1.622092E-4
12:52:38.954,-0.0041419566,-0.002207612,-0.0025629634
12:52:38.995,0.0019851297,-9.311469E-6,-0.0034053233
12:52:39.035,0.002006342,-4.4783333E-4,0.002867835
12:52:39.075,2.6761965E-4,0.0017942154,0.003020514
12:52:39.115,0.0048551164,-0.002779737,0.0018395378
12:52:39.155,-0.0011235606,1.3495513E-4,0.0034133948
12:52:39.195,-0.0018901126,-0.0029547121,0.00548905
12:52:39.235,-0.0030194595,0.0017352905,-0.0018713378
12:52:39.275,0.0025559252,0.0037590268,-0.0023433783
12:52:39.315,0.0014214274,9.6613175E-4,-0.0038668609
12:52:39.355,0.0030370948,0.0024076046,-8.434294E-4
12:52:39.395,0.0042714723,-0.0035460463,-3.1965325E-4
12:52:39.435,0.001427332,3.2418323E-4,-6.787891E-5
12:52:39.475,1.8596498E-4,-0.0021252274,-5.0053396E-4
12:52:39.515,0.0014857294,-1.5489206E-4,-4.5045142E-4
12:52:39.555,0.001117431,-0.002116942,6.931817E-4
12:52:39.595,0.0014451406,0.001610377,-0.0020128333
12:52:39.635,-0.0017755458,-0.002286012,0.0014843891
12:52:39.674,0.0010387271,3.5958103E-4,-8.6132303E-4
12:52:39.714,0.0026926645,3.2362292E-4,0.005377118
12:52:39.755,4.4586253E-4,-0.0041032704,6.6459086E-4
12:52:39.795,-0.0028946209,0.003558033,0.0012573157
12:52:39.835,-8.473467E-4,1.260581E-4,2.5264957E-4
12:52:39.875,0.0031924692,0.002090991,-0.0017501671
