Time,X,Y,Z
14:15:58.861,0.109375,0.765625,0.625
14:15:58.861,0.09375,0.765625,0.609375
14:15:58.861,0.09375,0.78125,0.609375
14:15:58.861,0.109375,0.78125,0.609375
14:15:58.862,0.09375,0.765625,0.59375
14:15:58.862,0.078125,0.765625,0.59375
14:15:58.950,0.09375,0.78125,0.609375
14:15:58.950,0.09375,0.78125,0.625
14:15:58.950,0.078125,0.765625,0.625
14:15:58.951,0.09375,0.765625,0.609375
14:15:58.951,0.109375,0.765625,0.609375
14:15:58.951,0.09375,0.765625,0.609375
14:15:59.152,0.078125,0.765625,0.59375
14:15:59.162,0.109375,0.78125,0.625
14:15:59.164,0.09375,0.78125,0.625
14:15:59.165,0.078125,0.765625,0.609375
14:15:59.167,0.09375,0.765625,0.609375
14:15:59.175,0.09375,0.75,0.609375
14:15:59.350,0.078125,0.75,0.609375
14:15:59.350,0.09375,0.765625,0.609375
14:15:59.350,0.09375,0.765625,0.609375
14:15:59.351,0.09375,0.765625,0.609375
14:15:59.351,0.09375,0.765625,0.609375
14:15:59.353,0.09375,0.765625,0.609375
14:15:59.550,0.09375,0.765625,0.609375
14:15:59.551,0.09375,0.765625,0.609375
14:15:59.551,0.09375,0.765625,0.625
14:15:59.552,0.09375,0.765625,0.625
14:15:59.552,0.09375,0.765625,0.609375
14:15:59.552,0.109375,0.765625,0.609375
14:15:59.700,0.109375,0.765625,0.625
14:15:59.701,0.09375,0.765625,0.609375
14:15:59.701,0.109375,0.765625,0.625
14:15:59.702,0.109375,0.78125,0.609375
14:15:59.702,0.09375,0.78125,0.609375
14:15:59.704,0.09375,0.765625,0.609375
14:15:59.901,0.078125,0.765625,0.609375
14:15:59.905,0.09375,0.765625,0.609375
14:15:59.907,0.09375,0.765625,0.609375
14:15:59.908,0.09375,0.765625,0.609375
14:15:59.910,0.09375,0.765625,0.609375
14:15:59.911,0.109375,0.765625,0.609375
14:16:00.100,0.09375,0.78125,0.609375
14:16:00.100,0.09375,0.765625,0.59375
14:16:00.100,0.09375,0.765625,0.59375
14:16:00.101,0.09375,0.765625,0.609375
14:16:00.101,0.09375,0.765625,0.625
14:16:00.101,0.09375,0.78125,0.609375
14:16:00.250,0.109375,0.765625,0.609375
14:16:00.251,0.109375,0.765625,0.609375
14:16:00.251,0.109375,0.78125,0.609375
14:16:00.252,0.109375,0.78125,0.59375
14:16:00.252,0.109375,0.78125,0.609375
14:16:00.252,0.09375,0.75,0.59375
14:16:00.463,0.109375,0.765625,0.59375
14:16:00.466,0.109375,0.796875,0.609375
14:16:00.470,0.125,0.765625,0.609375
14:16:00.471,0.125,0.765625,0.609375
14:16:00.472,0.109375,0.78125,0.625
14:16:00.474,0.0625,0.765625,0.578125
14:16:00.699,0.078125,0.765625,0.59375
14:16:00.699,0.140625,0.78125,0.609375
14:16:00.700,0.125,0.78125,0.609375
14:16:00.700,0.09375,0.78125,0.609375
14:16:00.700,0.09375,0.78125,0.59375
14:16:00.700,0.109375,0.78125,0.609375
14:16:00.858,0.109375,0.765625,0.59375
14:16:00.860,0.109375,0.78125,0.59375
14:16:00.861,0.109375,0.765625,0.59375
14:16:00.872,0.125,0.78125,0.609375
14:16:00.873,0.109375,0.78125,0.609375
14:16:00.875,0.09375,0.765625,0.59375
14:16:01.050,0.109375,0.78125,0.578125
14:16:01.050,0.125,0.796875,0.59375
14:16:01.050,0.125,0.78125,0.59375
14:16:01.051,0.09375,0.765625,0.59375
14:16:01.051,0.09375,0.78125,0.59375
14:16:01.051,0.125,0.78125,0.59375
14:16:01.209,0.109375,0.796875,0.59375
14:16:01.210,0.078125,0.796875,0.609375
14:16:01.212,0.09375,0.765625,0.59375
14:16:01.213,0.109375,0.75,0.578125
14:16:01.215,0.125,0.78125,0.578125
14:16:01.224,0.125,0.78125,0.59375
14:16:01.400,0.125,0.765625,0.59375
14:16:01.400,0.125,0.78125,0.609375
14:16:01.400,0.15625,0.78125,0.609375
14:16:01.400,0.1875,0.796875,0.625
14:16:01.401,0.109375,0.78125,0.609375
14:16:01.401,0.078125,0.78125,0.578125
14:16:01.601,0.109375,0.78125,0.59375
14:16:01.602,0.171875,0.78125,0.59375
