Time-E4,X-E4,Time-Moto,X-Moto,Y-Moto,Z-Moto,Y,Z,,Time,X-E4,X-Moto
13:51.562,0.21875,13:47.543,0.01219817,0.022721205,-0.015597269,0.78125,0.5625,,13:47.01,,0.08247428
13:51.562,0.21875,13:47.583,0.05821958,-0.091831185,-0.05820256,0.78125,0.5625,,13:47.02,,0.08247428
13:51.562,0.21875,13:47.623,0.042949356,-0.1076969,-0.010414549,0.78125,0.5625,,13:47.03,,0.07202958
13:51.563,0.21875,13:47.663,0.011847787,0.028097201,-0.013767602,0.78125,0.546875,,13:47.04,,0.07202958
13:51.563,0.234375,13:47.703,-0.0016416387,-0.017119743,-0.04073556,0.78125,0.5625,,13:47.05,,0.07202958
13:51.563,0.234375,13:47.743,0.03565636,-0.087697804,-0.005241117,0.78125,0.5625,,13:47.06,,0.07202958
13:51.812,0.234375,13:47.807,-0.018226653,-0.020920208,-0.009111527,0.78125,0.5625,,13:47.07,,0.06438708
13:51.812,0.234375,13:47.844,-0.01640394,-0.018828185,-0.008200365,0.78125,0.578125,,13:47.08,,0.06438708
13:51.813,0.234375,13:47.921,-0.014763565,-0.016945366,-0.0073803235,0.765625,0.59375,,13:47.09,,0.06438708
13:51.813,0.25,13:47.991,-0.013287247,-0.01525083,-0.006642311,0.765625,0.578125,,13:47.10,,0.06438708
13:51.813,0.234375,13:48.869,-0.02646047,-0.0455861,0.044998463,0.765625,0.546875,,13:47.11,,0.06438708
13:51.813,0.21875,13:48.940,-0.015245135,-0.039489403,0.024019117,0.765625,0.546875,,13:47.12,,0.06871499
13:51.912,0.21875,13:49.010,-0.014160045,-0.042351987,0.036998086,0.78125,0.546875,,13:47.13,,0.06871499
13:51.912,0.21875,13:49.081,-0.008569177,-0.03262362,0.029343186,0.78125,0.546875,,13:47.14,,0.06871499
13:51.912,0.21875,13:49.150,-0.029904645,-0.006070239,0.015642246,0.765625,0.5625,,13:47.15,,0.047561232
13:51.913,0.21875,13:49.220,0.007802573,-0.012933922,0.021988194,0.765625,0.578125,,13:47.16,,0.047561232
13:51.914,0.21875,13:49.292,-0.0024258443,0.018462017,0.02396417,0.765625,0.578125,,13:47.17,,0.047561232
13:51.915,0.21875,13:49.361,-0.0013043836,0.0025533237,0.036948588,0.765625,0.578125,,13:47.18,,0.047561232
13:52.168,0.234375,14:00.573,-1.2775656,0.3391388,0.30571467,0.78125,0.578125,,13:47.19,,0.05269285
13:52.170,0.234375,14:00.640,-1.0250044,0.3181888,0.2982145,0.765625,0.578125,,13:47.20,,0.05269285
13:52.171,0.21875,14:00.710,-0.94996977,0.21891387,0.1622651,0.765625,0.5625,,13:47.21,,0.05269285
13:52.181,0.234375,14:00.780,-0.8615646,0.17526954,0.24513528,0.765625,0.5625,,13:47.22,,0.05269285
13:52.183,0.234375,14:00.851,-0.7488212,0.11445645,0.2342448,0.78125,0.578125,,13:47.23,,0.041710664
13:52.184,0.234375,14:00.922,-0.8037975,0.12080867,0.19148439,0.765625,0.5625,,13:47.24,,0.041710664
13:52.312,0.234375,14:00.991,-0.702324,0.113342054,0.1097139,0.765625,0.5625,,13:47.25,,0.041710664
13:52.312,0.234375,14:01.061,-0.5485955,0.1281553,0.1582884,0.765625,0.578125,,13:47.26,,0.041710664
13:52.313,0.234375,14:01.134,-0.48846254,0.09073041,0.13916367,0.765625,0.578125,,13:47.27,,0.031387284
13:52.313,0.234375,14:01.201,-0.533879,0.12472377,0.072512954,0.765625,0.578125,,13:47.28,,0.031387284
13:52.313,0.234375,14:01.271,-0.46357208,0.0709428,0.061746027,0.78125,0.5625,,13:47.29,,0.031387284
13:52.313,0.21875,14:01.342,-0.44709772,0.025396375,0.11973158,0.78125,0.5625,,13:47.30,,0.031387284
13:52.462,0.21875,14:01.793,-0.3641555,0.024834277,0.05502407,0.78125,0.5625,,13:47.31,,0.0354996
13:52.464,0.21875,14:01.861,-0.3356501,-0.01829856,0.078965046,0.78125,0.5625,,13:47.32,,0.0354996
13:52.464,0.21875,14:01.932,-0.29922864,0.052745167,0.09106363,0.765625,0.5625,,13:47.33,,0.0354996
13:52.464,0.21875,14:02.003,-0.23920327,0.0727392,0.07031175,0.765625,0.546875,,13:47.34,,0.0354996
13:52.465,0.21875,14:02.072,-0.22187471,0.032945752,0.040648717,0.78125,0.5625,,13:47.35,,0.016348993
13:52.465,0.21875,14:02.143,-0.20320287,-0.023522647,0.054821163,0.78125,0.5625,,13:47.36,,0.016348993
13:52.665,0.203125,14:02.212,-0.17233571,0.019918483,0.07087224,0.78125,0.5625,,13:47.37,,0.016348993
13:52.666,0.21875,14:02.296,-0.1731197,0.02298034,0.019180506,0.796875,0.5625,,13:47.38,,0.016348993
13:52.668,0.21875,14:03.021,-0.16349816,0.008377623,0.04692557,0.78125,0.5625,,13:47.39,,0.011418146
13:52.674,0.21875,14:03.091,-0.12012198,0.00863849,0.03739904,0.78125,0.5625,,13:47.40,,0.011418146
13:52.679,0.21875,14:03.161,-0.1399701,0.018541249,0.0323408,0.78125,0.5625,,13:47.41,,0.011418146
13:52.680,0.21875,14:03.231,-0.1110317,0.016687125,0.024272738,0.78125,0.5625,,13:47.42,,0.011418146
13:52.911,0.21875,14:03.301,-0.10036801,0.018753773,-0.008696523,0.78125,0.578125,,13:47.43,,-0.00092968816
13:52.912,0.21875,14:03.371,-0.098241344,0.029842261,0.017221987,0.78125,0.5625,,13:47.44,,-0.00092968816
13:52.912,0.21875,14:03.441,-0.09281171,0.013674439,0.025167758,0.78125,0.5625,,13:47.45,,-0.00092968816
13:52.912,0.234375,14:04.024,0.19090791,-0.1041481,-0.054253332,0.796875,0.578125,,13:47.46,,-0.00092968816
13:52.912,0.21875,14:04.093,0.19137275,-0.16228797,-0.079369985,0.78125,0.5625,,13:47.47,,0.014544076
13:52.916,0.21875,14:04.164,0.24518467,-0.22647908,-0.14855698,0.78125,0.5625,,13:47.48,,0.014544076
13:53.113,0.21875,14:04.235,0.1376096,-0.28952453,-0.022299921,0.765625,0.5625,,13:47.49,,0.014544076
13:53.113,0.21875,14:04.305,0.54330665,-0.42734453,0.14208825,0.765625,0.5625,,13:47.50,,0.014544076
13:53.113,0.21875,14:04.375,0.6572865,-0.31297925,-0.05383439,0.765625,0.5625,,13:47.51,,0.026493
13:53.113,0.203125,14:04.444,0.8093069,-0.26212567,-0.20445685,0.765625,0.5625,,13:47.52,,0.026493
13:53.114,0.234375,14:05.431,0.90943086,0.075,-0.24751212,0.765625,0.5625,,13:47.53,,0.026493
13:53.114,0.234375,14:05.502,0.8145327,0.07519043,-0.18189174,0.765625,0.5625,,13:47.54,,0.026493
13:53.215,0.234375,14:05.572,0.71638024,0.114692874,-0.16787736,0.78125,0.5625,,13:47.55,,0.01219817
13:53.216,0.21875,14:05.643,0.6471592,0.075318314,-0.17372146,0.78125,0.5625,,13:47.56,,0.01219817
13:53.217,0.234375,14:05.712,0.5868378,0.059436873,-0.14448409,0.78125,0.578125,,13:47.57,,0.01219817
13:53.218,0.234375,14:05.782,0.5332077,0.09546096,-0.1359683,0.765625,0.578125,,13:47.58,,0.01219817
13:53.218,0.234375,14:05.852,0.46055102,0.064161934,-0.12654626,0.765625,0.5625,,13:47.59,,0.05821958
13:53.219,0.234375,14:19.075,0.3835145,0.067633435,-0.0510498,0.765625,0.578125,,13:47.60,,0.05821958
13:53.420,0.234375,14:19.076,0.34516308,0.042632785,-0.051657695,0.765625,0.5625,,13:47.61,,0.05821958
13:53.421,0.25,14:19.114,0.31042707,0.029800171,-0.055940192,0.765625,0.5625,,13:47.62,,0.05821958
13:53.426,0.25,14:19.156,0.28949177,0.077576995,-0.03870065,0.765625,0.5625,,13:47.63,,0.042949356
13:53.427,0.234375,14:19.197,0.26054257,0.069819294,-0.03483058,0.765625,0.5625,,13:47.64,,0.042949356
13:53.429,0.25,14:19.236,0.23448831,0.06283736,-0.03134751,0.78125,0.578125,,13:47.65,,0.042949356
13:53.430,0.25,14:19.276,0.2187299,-0.010243249,-0.024257664,0.765625,0.5625,,13:47.66,,0.042949356
13:53.612,0.234375,14:19.319,0.16631489,0.035165843,0.0126651535,0.765625,0.5625,,13:47.67,,0.011847787
13:53.612,0.25,14:19.355,0.15188065,0.030111168,-0.031887475,0.765625,0.5625,,13:47.68,,0.011847787
13:53.613,0.25,14:19.395,0.14174628,0.0044682194,0.008435072,0.765625,0.5625,,13:47.69,,0.011847787
13:53.613,0.25,14:19.435,0.14119473,0.00577921,-0.024927944,0.765625,0.5625,,13:47.70,,0.011847787
13:53.613,0.234375,14:19.476,0.12949224,0.021680785,-0.016282817,0.765625,0.5625,,13:47.71,,-0.0016416387
13:53.613,0.25,14:19.516,0.113247104,0.0069882907,-0.012017824,0.78125,0.5625,,13:47.72,,-0.0016416387
13:53.814,0.25,14:19.556,0.102801286,0.015517976,-0.017627558,0.765625,0.5625,,13:47.73,,-0.0016416387
13:53.816,0.25,14:19.596,0.08834634,0.011109737,0.0008343854,0.765625,0.5625,,13:47.74,,-0.0016416387
13:53.817,0.25,14:19.636,0.0821484,0.018568095,-0.0043027736,0.765625,0.5625,,13:47.75,,0.03565636
13:53.819,0.234375,14:19.676,0.05767378,0.06571031,-0.045181092,0.765625,0.5625,,13:47.76,,0.03565636
13:53.820,0.25,14:19.716,0.051247213,-0.01271131,0.02064073,0.78125,0.5625,,13:47.77,,0.03565636
13:53.822,0.25,14:19.759,0.045023844,-0.0028708407,-0.029763198,0.765625,0.578125,,13:47.78,,0.03565636
13:53.965,0.234375,,,,,0.765625,0.5625,,13:47.79,,0.03565636
13:53.967,0.25,,,,,0.78125,0.5625,,13:47.80,,0.03565636
13:53.977,0.25,,,,,0.765625,0.5625,,13:47.81,,-0.018226653
13:53.977,0.25,,,,,0.765625,0.5625,,13:47.82,,-0.018226653
13:53.978,0.25,,,,,0.78125,0.5625,,13:47.83,,-0.018226653
13:53.978,0.234375,,,,,0.765625,0.5625,,13:47.84,,-0.018226653
13:54.162,0.25,,,,,0.78125,0.5625,,13:47.85,,-0.01640394
13:54.162,0.25,,,,,0.765625,0.5625,,13:47.86,,-0.01640394
13:54.163,0.234375,,,,,0.765625,0.5625,,13:47.87,,-0.01640394
13:54.163,0.25,,,,,0.78125,0.5625,,13:47.88,,-0.01640394
13:54.163,0.25,,,,,0.78125,0.5625,,13:47.89,,-0.01640394
13:54.163,0.234375,,,,,0.78125,0.5625,,13:47.90,,-0.01640394
13:54.364,0.25,,,,,0.765625,0.5625,,13:47.91,,-0.01640394
13:54.366,0.25,,,,,0.765625,0.5625,,13:47.92,,-0.01640394
13:54.367,0.234375,,,,,0.78125,0.5625,,13:47.93,,-0.014763565
13:54.369,0.234375,,,,,0.765625,0.5625,,13:47.94,,-0.014763565
13:54.371,0.25,,,,,0.765625,0.5625,,13:47.95,,-0.014763565
13:54.372,0.25,,,,,0.765625,0.5625,,13:47.96,,-0.014763565
13:54.562,0.234375,,,,,0.765625,0.5625,,13:47.97,,-0.014763565
13:54.562,0.234375,,,,,0.78125,0.5625,,13:47.98,,-0.014763565
13:54.563,0.234375,,,,,0.765625,0.5625,,13:47.99,,-0.014763565
13:54.563,0.234375,,,,,0.765625,0.5625,,13:48.00,,-0.013287247
13:54.563,0.234375,,,,,0.78125,0.578125,,13:48.01,,-0.013287247
13:54.563,0.234375,,,,,0.78125,0.5625,,13:48.02,,-0.013287247
13:54.715,0.234375,,,,,0.765625,0.5625,,13:48.03,,-0.013287247
13:54.716,0.25,,,,,0.765625,0.5625,,13:48.04,,-0.013287247
13:54.718,0.234375,,,,,0.78125,0.5625,,13:48.05,,-0.013287247
13:54.719,0.234375,,,,,0.765625,0.5625,,13:48.06,,-0.013287247
13:54.720,0.234375,,,,,0.78125,0.5625,,13:48.07,,-0.013287247
13:54.722,0.234375,,,,,0.765625,0.5625,,13:48.08,,-0.013287247
13:54.912,0.25,,,,,0.765625,0.5625,,13:48.09,,-0.013287247
13:54.912,0.234375,,,,,0.78125,0.5625,,13:48.10,,-0.013287247
13:54.913,0.234375,,,,,0.78125,0.5625,,13:48.11,,-0.013287247
13:54.913,0.234375,,,,,0.765625,0.578125,,13:48.12,,-0.013287247
13:54.913,0.234375,,,,,0.765625,0.578125,,13:48.13,,-0.013287247
13:54.913,0.21875,,,,,0.765625,0.5625,,13:48.14,,-0.013287247
13:55.117,0.234375,,,,,0.765625,0.5625,,13:48.15,,-0.013287247
13:55.118,0.25,,,,,0.78125,0.5625,,13:48.16,,-0.013287247
13:55.119,0.234375,,,,,0.765625,0.5625,,13:48.17,,-0.013287247
13:55.121,0.234375,,,,,0.78125,0.5625,,13:48.18,,-0.013287247
13:55.122,0.234375,,,,,0.765625,0.5625,,13:48.19,,-0.013287247
13:55.126,0.234375,,,,,0.765625,0.5625,,13:48.20,,-0.013287247
13:55.312,0.234375,,,,,0.765625,0.5625,,13:48.21,,-0.013287247
13:55.312,0.234375,,,,,0.765625,0.5625,,13:48.22,,-0.013287247
13:55.313,0.234375,,,,,0.78125,0.5625,,13:48.23,,-0.013287247
13:55.313,0.234375,,,,,0.78125,0.5625,,13:48.24,,-0.013287247
13:55.313,0.234375,,,,,0.78125,0.5625,,13:48.25,,-0.013287247
13:55.313,0.234375,,,,,0.765625,0.5625,,13:48.26,,-0.013287247
13:55.469,0.234375,,,,,0.765625,0.5625,,13:48.27,,-0.013287247
13:55.471,0.234375,,,,,0.765625,0.5625,,13:48.28,,-0.013287247
13:55.472,0.25,,,,,0.78125,0.5625,,13:48.29,,-0.013287247
13:55.484,0.234375,,,,,0.78125,0.5625,,13:48.30,,-0.013287247
13:55.485,0.234375,,,,,0.765625,0.578125,,13:48.31,,-0.013287247
13:55.487,0.234375,,,,,0.765625,0.5625,,13:48.32,,-0.013287247
13:55.662,0.234375,,,,,0.765625,0.5625,,13:48.33,,-0.013287247
13:55.662,0.234375,,,,,0.765625,0.5625,,13:48.34,,-0.013287247
13:55.663,0.234375,,,,,0.765625,0.5625,,13:48.35,,-0.013287247
13:55.663,0.234375,,,,,0.78125,0.5625,,13:48.36,,-0.013287247
13:55.663,0.234375,,,,,0.78125,0.5625,,13:48.37,,-0.013287247
13:55.663,0.234375,,,,,0.765625,0.5625,,13:48.38,,-0.013287247
13:55.866,0.234375,,,,,0.78125,0.5625,,13:48.39,,-0.013287247
13:55.868,0.25,,,,,0.765625,0.5625,,13:48.40,,-0.013287247
13:55.869,0.25,,,,,0.765625,0.5625,,13:48.41,,-0.013287247
13:55.870,0.25,,,,,0.765625,0.5625,,13:48.42,,-0.013287247
13:55.872,0.234375,,,,,0.765625,0.5625,,13:48.43,,-0.013287247
13:55.890,0.234375,,,,,0.78125,0.5625,,13:48.44,,-0.013287247
13:56.062,0.25,,,,,0.765625,0.5625,,13:48.45,,-0.013287247
13:56.062,0.234375,,,,,0.765625,0.5625,,13:48.46,,-0.013287247
13:56.063,0.234375,,,,,0.78125,0.578125,,13:48.47,,-0.013287247
13:56.063,0.21875,,,,,0.78125,0.5625,,13:48.48,,-0.013287247
13:56.063,0.21875,,,,,0.765625,0.5625,,13:48.49,,-0.013287247
13:56.063,0.234375,,,,,0.765625,0.5625,,13:48.50,,-0.013287247
13:56.213,0.234375,,,,,0.765625,0.5625,,13:48.51,,-0.013287247
13:56.214,0.25,,,,,0.765625,0.5625,,13:48.52,,-0.013287247
13:56.215,0.234375,,,,,0.765625,0.5625,,13:48.53,,-0.013287247
13:56.216,0.234375,,,,,0.78125,0.5625,,13:48.54,,-0.013287247
13:56.216,0.234375,,,,,0.765625,0.5625,,13:48.55,,-0.013287247
13:56.217,0.234375,,,,,0.765625,0.5625,,13:48.56,,-0.013287247
13:56.417,0.234375,,,,,0.765625,0.5625,,13:48.57,,-0.013287247
13:56.417,0.234375,,,,,0.765625,0.5625,,13:48.58,,-0.013287247
13:56.418,0.234375,,,,,0.765625,0.5625,,13:48.59,,-0.013287247
13:56.418,0.234375,,,,,0.765625,0.5625,,13:48.60,,-0.013287247
13:56.418,0.25,,,,,0.765625,0.5625,,13:48.61,,-0.013287247
13:56.418,0.234375,,,,,0.765625,0.5625,,13:48.62,,-0.013287247
13:56.612,0.234375,,,,,0.765625,0.5625,,13:48.63,,-0.013287247
13:56.613,0.234375,,,,,0.765625,0.5625,,13:48.64,,-0.013287247
13:56.615,0.234375,,,,,0.78125,0.578125,,13:48.65,,-0.013287247
13:56.615,0.234375,,,,,0.78125,0.5625,,13:48.66,,-0.013287247
13:56.616,0.234375,,,,,0.78125,0.578125,,13:48.67,,-0.013287247
13:56.617,0.25,,,,,0.765625,0.578125,,13:48.68,,-0.013287247
13:56.861,0.234375,,,,,0.765625,0.5625,,13:48.69,,-0.013287247
13:56.862,0.25,,,,,0.765625,0.5625,,13:48.70,,-0.013287247
13:56.862,0.234375,,,,,0.765625,0.5625,,13:48.71,,-0.013287247
13:56.862,0.234375,,,,,0.765625,0.5625,,13:48.72,,-0.013287247
13:56.862,0.234375,,,,,0.765625,0.5625,,13:48.73,,-0.013287247
13:56.862,0.234375,,,,,0.765625,0.5625,,13:48.74,,-0.013287247
13:56.962,0.234375,,,,,0.765625,0.5625,,13:48.75,,-0.013287247
13:56.962,0.234375,,,,,0.765625,0.5625,,13:48.76,,-0.013287247
13:56.962,0.234375,,,,,0.765625,0.5625,,13:48.77,,-0.013287247
13:56.964,0.25,,,,,0.78125,0.5625,,13:48.78,,-0.013287247
13:56.965,0.234375,,,,,0.78125,0.5625,,13:48.79,,-0.013287247
13:56.966,0.234375,,,,,0.765625,0.5625,,13:48.80,,-0.013287247
13:57.170,0.234375,,,,,0.765625,0.5625,,13:48.81,,-0.013287247
13:57.171,0.234375,,,,,0.765625,0.5625,,13:48.82,,-0.013287247
13:57.175,0.234375,,,,,0.78125,0.5625,,13:48.83,,-0.013287247
13:57.176,0.234375,,,,,0.765625,0.5625,,13:48.84,,-0.013287247
13:57.178,0.234375,,,,,0.765625,0.5625,,13:48.85,,-0.013287247
13:57.179,0.25,,,,,0.765625,0.578125,,13:48.86,,-0.013287247
13:57.363,0.234375,,,,,0.765625,0.578125,,13:48.87,,-0.02646047
13:57.363,0.234375,,,,,0.765625,0.5625,,13:48.88,,-0.02646047
13:57.363,0.234375,,,,,0.765625,0.5625,,13:48.89,,-0.02646047
13:57.363,0.234375,,,,,0.765625,0.5625,,13:48.90,,-0.02646047
13:57.364,0.234375,,,,,0.765625,0.5625,,13:48.91,,-0.02646047
13:57.364,0.234375,,,,,0.765625,0.5625,,13:48.92,,-0.02646047
13:57.564,0.234375,,,,,0.765625,0.5625,,13:48.93,,-0.02646047
13:57.566,0.25,,,,,0.78125,0.578125,,13:48.94,,-0.015245135
13:57.568,0.25,,,,,0.765625,0.5625,,13:48.95,,-0.015245135
13:57.569,0.234375,,,,,0.765625,0.5625,,13:48.96,,-0.015245135
13:57.570,0.234375,,,,,0.765625,0.5625,,13:48.97,,-0.015245135
13:57.572,0.25,,,,,0.765625,0.5625,,13:48.98,,-0.015245135
13:57.713,0.234375,,,,,0.78125,0.5625,,13:48.99,,-0.015245135
13:57.713,0.21875,,,,,0.78125,0.5625,,13:49.00,,-0.015245135
13:57.713,0.234375,,,,,0.765625,0.5625,,13:49.01,,-0.014160045
13:57.713,0.234375,,,,,0.765625,0.5625,,13:49.02,,-0.014160045
13:57.713,0.234375,,,,,0.765625,0.5625,,13:49.03,,-0.014160045
13:57.714,0.234375,,,,,0.765625,0.5625,,13:49.04,,-0.014160045
13:57.915,0.234375,,,,,0.765625,0.5625,,13:49.05,,-0.014160045
13:57.916,0.234375,,,,,0.765625,0.5625,,13:49.06,,-0.014160045
13:57.918,0.234375,,,,,0.765625,0.5625,,13:49.07,,-0.014160045
13:57.919,0.234375,,,,,0.765625,0.5625,,13:49.08,,-0.014160045
13:57.931,0.234375,,,,,0.765625,0.5625,,13:49.09,,-0.008569177
13:57.932,0.234375,,,,,0.765625,0.5625,,13:49.10,,-0.008569177
13:58.112,0.234375,,,,,0.765625,0.578125,,13:49.11,,-0.008569177
13:58.112,0.234375,,,,,0.765625,0.5625,,13:49.12,,-0.008569177
13:58.113,0.234375,,,,,0.765625,0.5625,,13:49.13,,-0.008569177
13:58.113,0.234375,,,,,0.765625,0.5625,,13:49.14,,-0.008569177
13:58.113,0.234375,,,,,0.765625,0.5625,,13:49.15,,-0.029904645
13:58.113,0.234375,,,,,0.765625,0.5625,,13:49.16,,-0.029904645
13:58.312,0.25,,,,,0.765625,0.5625,,13:49.17,,-0.029904645
13:58.312,0.234375,,,,,0.765625,0.5625,,13:49.18,,-0.029904645
13:58.313,0.234375,,,,,0.78125,0.5625,,13:49.19,,-0.029904645
13:58.313,0.234375,,,,,0.765625,0.5625,,13:49.20,,-0.029904645
13:58.313,0.25,,,,,0.765625,0.5625,,13:49.21,,-0.029904645
13:58.313,0.21875,,,,,0.78125,0.5625,,13:49.22,,0.007802573
13:58.462,0.234375,,,,,0.78125,0.5625,,13:49.23,,0.007802573
13:58.462,0.234375,,,,,0.78125,0.5625,,13:49.24,,0.007802573
13:58.463,0.234375,,,,,0.78125,0.5625,,13:49.25,,0.007802573
13:58.464,0.234375,,,,,0.765625,0.5625,,13:49.26,,0.007802573
13:58.465,0.234375,,,,,0.765625,0.5625,,13:49.27,,0.007802573
13:58.466,0.234375,,,,,0.765625,0.5625,,13:49.28,,0.007802573
13:58.662,0.234375,,,,,0.78125,0.5625,,13:49.29,,0.007802573
13:58.662,0.234375,,,,,0.78125,0.5625,,13:49.30,,-0.0024258443
13:58.663,0.234375,,,,,0.78125,0.5625,,13:49.31,,-0.0024258443
13:58.663,0.234375,,,,,0.765625,0.5625,,13:49.32,,-0.0024258443
13:58.663,0.234375,,,,,0.765625,0.5625,,13:49.33,,-0.0024258443
13:58.663,0.234375,,,,,0.765625,0.5625,,13:49.34,,-0.0024258443
13:58.863,0.234375,,,,,0.765625,0.5625,,13:49.35,,-0.0024258443
13:58.864,0.25,,,,,0.78125,0.5625,,13:49.36,,-0.0024258443
13:58.865,0.234375,,,,,0.765625,0.5625,,13:49.37,,-0.0013043836
13:58.866,0.234375,,,,,0.765625,0.5625,,13:49.38,,-0.0013043836
13:58.867,0.234375,,,,,0.78125,0.5625,,13:49.39,,-0.0013043836
13:58.867,0.234375,,,,,0.765625,0.5625,,13:49.40,,-0.0013043836
13:59.064,0.234375,,,,,0.78125,0.5625,,13:49.41,,-0.0013043836
13:59.066,0.234375,,,,,0.765625,0.5625,,13:49.42,,-0.0013043836
13:59.067,0.234375,,,,,0.78125,0.5625,,13:49.43,,-0.0013043836
13:59.068,0.234375,,,,,0.78125,0.578125,,13:49.44,,-0.0013043836
13:59.070,0.234375,,,,,0.765625,0.5625,,13:49.45,,-0.0013043836
13:59.071,0.234375,,,,,0.765625,0.5625,,13:49.46,,-0.0013043836
13:59.266,0.234375,,,,,0.78125,0.5625,,13:49.47,,-0.0013043836
13:59.269,0.21875,,,,,0.765625,0.5625,,13:49.48,,-0.0013043836
13:59.270,0.234375,,,,,0.78125,0.5625,,13:49.49,,-0.0013043836
13:59.272,0.234375,,,,,0.78125,0.5625,,13:49.50,,-0.0013043836
13:59.281,0.234375,,,,,0.78125,0.5625,,13:49.51,,-0.0013043836
13:59.282,0.21875,,,,,0.765625,0.5625,,13:49.52,,-0.0013043836
13:59.414,0.234375,,,,,0.765625,0.5625,,13:49.53,,-0.0013043836
13:59.414,0.234375,,,,,0.78125,0.5625,,13:49.54,,-0.0013043836
13:59.415,0.234375,,,,,0.78125,0.5625,,13:49.55,,-0.0013043836
13:59.415,0.234375,,,,,0.78125,0.5625,,13:49.56,,-0.0013043836
13:59.415,0.234375,,,,,0.78125,0.5625,,13:49.57,,-0.0013043836
13:59.415,0.234375,,,,,0.78125,0.5625,,13:49.58,,-0.0013043836
13:59.615,0.234375,,,,,0.78125,0.5625,,13:49.59,,-0.0013043836
13:59.616,0.21875,,,,,0.78125,0.578125,,13:49.60,,-0.0013043836
13:59.616,0.203125,,,,,0.78125,0.5625,,13:49.61,,-0.0013043836
13:59.617,0.25,,,,,0.765625,0.578125,,13:49.62,,-0.0013043836
13:59.624,0.234375,,,,,0.765625,0.5625,,13:49.63,,-0.0013043836
13:59.625,0.234375,,,,,0.78125,0.5625,,13:49.64,,-0.0013043836
13:59.814,0.234375,,,,,0.765625,0.5625,,13:49.65,,-0.0013043836
13:59.816,0.28125,,,,,0.734375,0.578125,,13:49.66,,-0.0013043836
13:59.818,0.3125,,,,,0.75,0.625,,13:49.67,,-0.0013043836
13:59.833,0.40625,,,,,0.734375,0.765625,,13:49.68,,-0.0013043836
13:59.834,0.59375,,,,,0.734375,0.921875,,13:49.69,,-0.0013043836
13:59.836,0.5625,,,,,0.828125,0.859375,,13:49.70,,-0.0013043836
13:59.969,0.546875,,,,,0.734375,0.890625,,13:49.71,,-0.0013043836
13:59.970,0.625,,,,,0.703125,0.875,,13:49.72,,-0.0013043836
13:59.972,0.75,,,,,0.859375,0.890625,,13:49.73,,-0.0013043836
13:59.987,1.015625,,,,,0.8125,0.875,,13:49.74,,-0.0013043836
13:59.988,1.375,,,,,0.859375,0.9375,,13:49.75,,-0.0013043836
13:59.988,1.265625,,,,,0.890625,0.90625,,13:49.76,,-0.0013043836
14:00.162,1.1875,,,,,0.703125,0.5625,,13:49.77,,-0.0013043836
14:00.162,1.25,,,,,0.640625,0.578125,,13:49.78,,-0.0013043836
14:00.163,1.25,,,,,0.5625,0.546875,,13:49.79,,-0.0013043836
14:00.163,1.0625,,,,,0.484375,0.390625,,13:49.80,,-0.0013043836
