Time-E4,X-E4,Time-Moto,X-Moto,Y-Moto,Z-Moto,Y,Z,,Time,X-E4,X-Moto
13:51.028,0.203125,13:46.829,0.12737685,0.18073276,-0.10633741,0.78125,0.5625,,13:46.83,,0.12737685
13:51.028,0.203125,13:46.867,0.11376028,0.13892901,-0.10559137,0.78125,0.5625,,13:46.84,,0.12737685
13:51.028,0.203125,13:46.910,0.11820455,0.13470408,-0.100745134,0.78125,0.5625,,13:46.85,,0.12737685
13:51.029,0.203125,13:46.942,0.09627669,0.13178055,-0.06650071,0.78125,0.5625,,13:46.86,,0.12737685
13:51.029,0.21875,13:46.982,0.08247428,0.118163034,-0.08094438,0.796875,0.5625,,13:46.87,,0.11376028
13:51.029,0.21875,13:47.025,0.07202958,0.09601959,-0.08163899,0.796875,0.5625,,13:46.88,,0.11376028
13:51.163,0.21875,13:47.067,0.06438708,0.092789695,-0.071937025,0.78125,0.5625,,13:46.89,,0.11376028
13:51.163,0.203125,13:47.111,0.06871499,0.10284665,-0.056173977,0.78125,0.5625,,13:46.90,,0.11376028
13:51.163,0.203125,13:47.142,0.047561232,0.079378396,-0.047040958,0.765625,0.546875,,13:46.91,,0.11820455
13:51.163,0.203125,13:47.185,0.05269285,0.07188001,-0.04057904,0.765625,0.5625,,13:46.92,,0.11820455
13:51.164,0.21875,13:47.221,0.041710664,0.08358849,-0.029709615,0.78125,0.5625,,13:46.93,,0.11820455
13:51.164,0.21875,13:47.261,0.031387284,0.04205093,-0.02717811,0.78125,0.5625,,13:46.94,,0.11820455
13:51.365,0.21875,13:47.301,0.0354996,0.07344154,-0.036545254,0.78125,0.5625,,13:46.95,,0.09627669
13:51.367,0.234375,13:47.341,0.016348993,0.084774144,-0.03772477,0.796875,0.5625,,13:46.96,,0.09627669
13:51.371,0.234375,13:47.381,0.011418146,-0.0008272924,-0.03658899,0.796875,0.5625,,13:46.97,,0.09627669
13:51.372,0.21875,13:47.422,-0.00092968816,-0.00667718,0.0002486138,0.78125,0.5625,,13:46.98,,0.09627669
13:51.376,0.21875,13:47.462,0.014544076,0.039254215,-0.017574072,0.78125,0.546875,,13:46.99,,0.08247428
13:51.376,0.21875,13:47.502,0.026493,-0.027732732,-0.008785407,0.78125,0.5625,,13:47.00,,0.08247428
