Time,X,Y,Z
08:37:36.607,-10.167187,9.950097,52.109474
08:37:36.624,-9.150469,8.955088,46.89853
08:37:36.662,-8.235422,8.05958,42.208675
08:37:36.702,-7.41188,7.2536216,37.98781
08:37:36.750,-6.670692,6.5282593,34.18903
08:37:36.772,-6.670692,6.5282593,34.18903
08:37:36.793,-5.862998,6.1426206,31.501373
08:37:36.821,-5.234511,5.1908584,28.477797
08:37:36.860,-4.4016843,4.967085,25.545643
08:37:36.903,-4.355266,4.484439,23.328579
08:37:36.947,-3.8916147,3.9375577,20.658222
08:37:36.970,-3.8916147,3.9375577,20.658222
08:37:36.991,-3.5024536,3.853177,18.662714
08:37:37.021,-3.236583,3.242859,16.473003
08:37:37.061,-2.9410493,2.9888852,15.528827
08:37:37.102,-2.436007,2.7040591,13.835319
08:37:37.147,-2.206469,2.5602164,12.353351
08:37:37.171,-2.206469,2.5602164,12.353351
08:37:37.191,-2.0701969,1.8541942,10.8086405
08:37:37.231,-1.6100526,1.6687747,9.92465
08:37:37.273,-1.4631097,1.7831473,8.721247
08:37:37.313,-1.8511733,1.731396,8.074121
08:37:37.352,-1.0473057,1.6004437,6.9995265
08:37:37.372,-1.0473057,1.6004437,6.9995265
08:37:37.392,-1.237888,1.0185243,6.6651998
08:37:37.432,-1.043787,1.113547,5.6189885
08:37:37.472,-1.0519083,1.2975055,5.1414633
08:37:37.512,-1.0029678,0.5630674,4.9788837
08:37:37.552,-0.79017115,0.9567611,4.2700553
08:37:37.571,-0.79017115,0.9567611,4.2700553
08:37:37.592,-0.7252167,0.9313974,3.5758653
08:37:37.631,-0.70894516,0.5429449,3.5839005
08:37:37.671,-0.24430026,0.5870876,3.1270695
08:37:37.711,-0.50112057,0.80962926,2.7299876
08:37:37.754,-0.49319607,0.531791,2.4148054
08:37:37.771,-0.49319607,0.531791,2.4148054
08:37:37.792,-0.37356427,0.61923766,2.3983247
08:37:37.834,-0.37839553,0.36043814,1.8913047
08:37:37.872,-0.2421188,0.49314472,1.983424
08:37:37.914,-0.21790724,0.5844549,1.3632045
08:37:37.952,-0.36486644,0.17444684,1.5362587
08:37:37.971,-0.36486644,0.17444684,1.5362587
08:37:37.992,-0.2018178,0.2976278,1.3545097
08:37:38.034,-0.589448,0.45067704,0.90968466
08:37:38.071,-0.3476909,0.41967213,1.142158
08:37:38.111,-0.11604687,-0.22698238,1.2388767
08:37:38.153,-0.39975423,0.30196583,1.0587398
08:37:38.171,-0.39975423,0.30196583,1.0587398
08:37:38.192,-0.16290392,0.35614446,0.61536485
08:37:38.232,-0.04817574,-0.0029080957,0.77882814
08:37:38.272,-0.22617018,0.18019612,0.79938555
08:37:38.313,-0.03480301,0.28873858,0.2694493
08:37:38.352,-0.07350994,0.27392736,0.91750187
08:37:38.371,-0.07350994,0.27392736,0.91750187
08:37:38.392,-0.40365893,0.190285,0.54450005
08:37:38.434,0.044519227,0.29781917,0.6728608
08:37:38.474,-0.07243243,-0.11165049,8.900111E-4
08:37:38.512,-0.1917515,-0.12861049,0.52111083
08:37:38.554,0.024298703,-0.0032496296,0.25806588
08:37:38.571,0.024298703,-0.0032496296,0.25806588
08:37:38.593,-0.06250616,-0.07323687,0.75256974
08:37:38.633,0.1124946,-0.09403854,0.11481143
08:37:38.671,0.05905737,-0.1268219,0.39864406
08:37:38.713,0.05315171,-0.0438276,-0.0068462393
08:37:38.752,0.24471104,0.016805183,0.21883692
08:37:38.771,0.24471104,0.016805183,0.21883692
08:37:38.792,-0.28600943,0.3526249,-0.028044686
08:37:38.835,-0.13084641,-0.10451329,0.24194609
08:37:38.882,-0.11776154,0.088751376,0.13337718
08:37:38.911,0.20338932,0.023626527,0.4997319
08:37:38.951,0.0143008595,0.06345141,-0.0986792
08:37:38.970,0.0143008595,0.06345141,-0.0986792
08:37:38.991,0.15349579,-0.23820633,-0.10287408
08:37:39.030,-0.016541447,-0.003448793,-0.07852636
08:37:39.072,-0.15551232,0.12345947,-0.042546265
08:37:39.111,-0.055586014,-0.043574754,0.11639851
08:37:39.151,0.006222298,-0.19390494,0.23131575
08:37:39.170,0.006222298,-0.19390494,0.23131575
08:37:39.191,-0.17721257,-0.21670213,-0.21368979
08:37:39.230,0.10769601,0.21278112,0.46861884
08:37:39.272,-0.25463575,-0.25849766,-0.028243849
08:37:39.312,0.09426493,-0.28889805,0.058958568
08:37:39.352,0.056713313,-0.006883582,0.06712426
08:37:39.372,0.056713313,-0.006883582,0.06712426
08:37:39.392,-0.14583267,-0.0061950684,-0.36146274
08:37:39.436,0.24843757,0.34598714,0.06843127
08:37:39.472,0.2376563,-0.32142392,0.2865898
08:37:39.512,0.017016016,-0.078344315,0.27199486
08:37:39.552,-0.08312268,-0.15488449,-0.24739197
08:37:39.572,-0.08312268,-0.15488449,-0.24739197
08:37:39.592,-0.07481072,0.04341605,-0.025779203
08:37:39.633,0.07329521,-0.017175503,0.3142984
08:37:39.671,0.22065273,-0.26858264,0.0719353
08:37:39.711,-0.02641248,-0.058911886,0.06474052
08:37:39.753,0.2856041,0.10166665,0.030142123
08:37:39.772,0.2856041,0.10166665,0.030142123
08:37:39.792,0.04610553,-0.3022498,0.16775154
08:37:39.834,0.21024567,-0.4688997,-0.14433739
08:37:39.872,-0.049842175,0.23892753,-0.017401895
08:37:39.912,-0.058920447,-0.009965946,-0.0719104
08:37:39.954,0.07353406,-0.4027191,0.01965493
08:37:39.971,0.07353406,-0.4027191,0.01965493
08:37:39.992,-0.032256678,-0.010884742,0.74894124
08:37:40.035,-0.0993436,-0.10823359,-0.029077845
08:37:40.070,-0.07534675,-0.097410314,-0.15272714
08:37:40.111,0.03062525,-0.46735618,-0.06714293
08:37:40.152,-0.028687298,0.24031621,-0.3838624
08:37:40.171,-0.028687298,0.24031621,-0.3838624
08:37:40.192,0.11480598,0.04753468,0.11858308
08:37:40.232,-0.107611984,-0.37909338,0.43016165
08:37:40.272,0.015649103,0.16506515,0.007456177
08:37:40.312,-0.15466587,-0.24519105,-0.2604745
08:37:40.354,-0.026699554,-0.20660938,-0.1641168
08:37:40.371,-0.026699554,-0.20660938,-0.1641168
08:37:40.392,-0.024029521,0.010926753,0.06323435
08:37:40.434,-0.06381395,0.122333735,-0.28059
08:37:40.474,-0.19805703,-0.016462093,-0.041594014
08:37:40.512,0.018623326,-0.39450285,0.3563156
08:37:40.554,0.07301125,0.13713406,-0.101187415
08:37:40.571,0.07301125,0.13713406,-0.101187415
08:37:40.593,-0.1452274,-0.20001677,0.09174583
08:37:40.635,-0.060392387,-0.05345279,0.13882306
08:37:40.673,0.030021537,0.3878301,0.040567078
08:37:40.711,-0.2261056,0.15217167,0.16307119
08:37:40.751,-0.23161994,-0.1583574,-0.47198594
08:37:40.771,-0.23161994,-0.1583574,-0.47198594
08:37:40.793,-0.053770985,0.29341504,-0.059163954
08:37:40.832,0.050043672,0.06719895,-0.2641839
08:37:40.874,-0.05339833,-0.009833689,-0.43464282
