Time,Mean-X,Variance-X,Skewness-X,Kurtosis-X,RMS-X,Mean-Y,Variance-Y,Skewness-Y,Kurtosis-Y,RMS-Y,Mean-Z,Variance-Z,Skewness-Z,Kurtosis-Z,RMS-Z
12:04:13.512,5.0,0.0,NaN,NaN,25.0,46.0,0.0,NaN,NaN,2116.0,43.0,0.0,NaN,NaN,1849.0
12:04:13.519,5.0,0.0,NaN,NaN,25.0,46.0,0.0,NaN,NaN,2116.0,42.5,0.5,NaN,NaN,1806.5
12:04:13.567,5.0,0.0,NaN,NaN,25.0,46.333333333333336,0.33333333333333337,1.7320508075688403,NaN,2147.0,42.333333333333336,0.33333333333333337,1.7320508075688406,NaN,1792.3333333333333
12:04:13.568,5.0,0.0,NaN,NaN,25.0,46.5,0.3333333333333333,0.0,-5.9999999999999645,2162.5,42.25,0.25,2.0,3.999999999999954,1785.25
12:04:13.574,4.6,0.7999999999999999,-2.2360679774997885,4.999999999999991,21.8,46.4,0.3,0.6085806194501975,-3.333333333333295,2153.2,42.0,0.5,0.0,1.9999999999999911,1764.4
12:04:13.586,4.5,0.7,-1.536722497715649,1.428571428571427,20.833333333333332,46.5,0.3,0.0,-3.3333333333333277,2162.5,42.0,0.4,0.0,2.499999999999991,1764.3333333333333
12:04:13.597,4.571428571428571,0.6190476190476191,-1.7598154411446705,2.3609467455621234,21.428571428571427,46.57142857142857,0.28571428571428575,-0.3741657386773783,-2.800000000000008,2169.1428571428573,42.0,0.3333333333333333,0.0,2.9999999999999947,1764.2857142857142
12:04:13.601,4.75,0.7857142857142857,-1.0255928633050295,1.8512396694214868,23.25,46.625,0.26785714285714285,-0.6440611887195306,-2.24,2174.125,42.0,0.2857142857142857,0.0,3.499999999999993,1764.25
12:04:13.611,4.888888888888889,0.8611111111111112,-0.9435485912927363,1.3539467816262842,24.666666666666668,46.55555555555556,0.2777777777777778,-0.271052370871587,-2.5714285714285663,2167.6666666666665,42.0,0.25,0.0,3.999999999999993,1764.2222222222222
12:04:13.620,5.1,1.211111111111111,-0.2375890208977751,0.9068500727452005,27.1,46.6,0.26666666666666666,-0.48412291827593734,-2.2767857142857055,2171.8,42.0,0.2222222222222222,0.0,4.499999999999992,1764.2
12:04:13.626,5.363636363636363,1.8545454545454547,0.3503585240826362,0.6608035371011143,30.454545454545453,46.63636363636363,0.25454545454545446,-0.6606874726433867,-1.9642857142856793,2175.181818181818,42.0,0.2,0.0,4.999999999999992,1764.1818181818182
12:04:13.630,5.5,1.9090909090909092,0.12407089104955642,0.019954648526078422,32.0,46.666666666666664,0.24242424242424238,-0.8124038404635787,-1.649999999999947,2178.0,42.0,0.18181818181818182,0.0,5.499999999999988,1764.1666666666667
12:04:13.797,5.615384615384615,1.9230769230769231,-0.06031103951685128,-0.2840145454545424,33.30769230769231,46.76923076923077,0.358974358974359,0.06502776314777788,0.05064935064937659,2187.6923076923076,42.0,0.16666666666666666,0.0,5.999999999999989,1764.1538461538462
12:04:13.801,5.857142857142857,2.593406593406594,0.2683816777327903,-0.11080606408816296,36.714285714285715,46.857142857142854,0.43956043956043944,0.15083103128999953,-0.31022727272724415,2196.0,42.07142857142857,0.2252747252747253,0.3083267174490696,2.9232599643069657,1770.2142857142858
12:04:13.804,6.066666666666666,3.0666666666666673,0.2518251993237978,-0.5269116516753551,39.666666666666664,46.93333333333333,0.4952380952380952,0.09249088995041366,-0.6690942193900464,2203.2,42.13333333333333,0.2666666666666666,0.28196169965521356,1.401098901098889,1775.4666666666667
12:04:13.808,6.1875,3.095833333333333,0.09474219835409652,-0.7553414543011443,41.1875,46.9375,0.4625,0.07380532885883785,-0.48868589409126706,2203.5625,42.125,0.25,0.34285714285714286,1.6527472527472433,1774.75
12:04:13.813,6.235294117647059,2.9411764705882355,0.007871785058041019,-0.6694599999999964,41.64705882352941,47.0,0.5,0.0,-0.7428571428571162,2209.470588235294,42.05882352941177,0.3088235294117646,0.05141345204811882,0.9912536443148583,1769.235294117647
12:04:13.818,6.333333333333334,2.9411764705882355,-0.11370356194948428,-0.7636399999999974,42.888888888888886,47.0,0.47058823529411764,0.0,-0.5843749999999734,2209.4444444444443,42.05555555555556,0.2908496732026144,0.07291951100339268,1.213028657997718,1768.9444444444443
12:04:13.997,6.368421052631579,2.8011695906432745,-0.18116193619734736,-0.6481608625772521,43.21052631578947,47.0,0.4444444444444444,0.0,-0.43014705882350146,2209.4210526315787,42.0,0.3333333333333333,0.0,0.6176470588235206,1764.3157894736842
12:04:14.008,6.4,2.6736842105263157,-0.24398524130105065,-0.5287729202909346,43.5,47.0,0.42105263157894735,0.0,-0.2794117647058538,2209.4,41.95,0.36578947368421033,0.011895141098019354,0.18857871806659166,1760.15
12:04:14.021,6.428571428571429,2.5571428571428565,-0.30283737409234035,-0.4063926865633194,43.76190476190476,47.0,0.4,0.0,-0.1315789473683906,2209.3809523809523,41.904761904761905,0.3904761904761903,0.056493431768546654,-0.11177557218448797,1756.3809523809523
12:04:14.035,6.454545454545455,2.4502164502164496,-0.3582517046730157,-0.2816889894203167,44.0,47.04545454545455,0.4264069264069265,-0.04197738769081472,-0.36753438906599367,2213.681818181818,41.90909090909091,0.37229437229437246,0.03430289849281413,0.024986479177924625,1756.7272727272727
12:04:14.052,6.434782608695652,2.347826086956521,-0.32192018859614036,-0.1944631500187013,43.65217391304348,47.04347826086956,0.40711462450592856,-0.032606008886130196,-0.23915812719655882,2213.478260869565,41.91304347826087,0.35573122529644263,0.013306641629598192,0.16063492063490914,1757.0434782608695
