Time,X,Y,Z,AccAvg,Azimuth,Pitch,Roll,OrientAvg
09:43:44.643,-2.1234374,9.893847,53.57197,20.44746,0.0,0.0,0.0,0.0
09:43:44.689,-1.9110938,8.904463,48.214775,18.402716,0.0,0.0,0.0,0.0
09:43:44.731,-1.7199845,8.014016,43.3933,16.562445,0.0,0.0,0.0,0.0
09:43:44.773,-1.547986,7.212615,39.053967,14.906199,0.0,0.0,0.0,0.0
09:43:44.803,-1.3088124,6.013228,35.204823,13.303079,0.0,0.0,0.0,0.0
09:43:44.822,-1.3088124,6.013228,35.204823,13.303079,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:44.844,-1.0794936,5.735343,31.895277,12.183708,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:44.887,-0.9293568,5.147746,28.49481,10.9044,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:44.931,-1.0754836,4.5204716,25.43439,9.626459,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:44.972,-0.6726227,4.6449866,23.580013,9.184126,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:45.003,-1.3647354,3.4351752,21.461077,7.843839,9.5051946E-5,4.40694E-5,-8.6025044E-5,1.7698767E-5
09:43:45.020,-1.3647354,3.4351752,21.461077,7.843839,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.043,0.29048815,4.441658,18.133715,7.6219535,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.086,0.37393934,3.6881173,16.868782,6.9769464,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.131,-1.5337671,2.9958675,17.530342,6.3308144,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.166,0.86960965,-0.6646562,16.297619,5.500858,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.203,3.6795237,4.239309,13.149108,7.0226464,0.059986558,0.026522335,-0.036925565,0.016527776
09:43:45.219,3.6795237,4.239309,13.149108,7.0226464,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.243,3.7193835,5.1653786,12.438889,7.1078835,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.283,6.2443204,2.1738405,11.391874,6.6033454,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.324,5.619889,0.6064562,9.352688,5.193011,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.365,3.2860243,2.8520608,6.223667,4.120584,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.405,1.213672,0.38716727,5.291925,2.297588,0.5791484,0.3425213,-0.06253769,0.28637734
09:43:45.414,1.213672,0.38716727,5.291925,2.297588,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.445,0.86730474,-1.0859247,5.1142964,1.6318922,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.484,-3.0584881,-0.9913946,4.42005,0.12338909,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.525,-2.9495142,-0.06256762,1.8264832,-0.39519954,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.565,-4.6373754,-0.33756083,2.2766483,-0.89942926,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.605,0.41073716,-2.5959918,1.1208601,-0.35479817,0.97012174,0.48475826,0.13831066,0.53106356
09:43:45.614,0.41073716,-2.5959918,1.1208601,-0.35479817,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.645,-2.9490864,-4.8676434,3.933768,-1.2943205,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.687,-1.2338654,-1.8496289,3.6669576,0.19448781,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.727,-8.338604,-3.8865411,3.8486943,-2.7921505,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.767,-6.1266184,1.9021132,2.1419518,-0.69418454,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.805,-10.998332,1.866589,2.96838,-2.0544546,1.4317267,-0.33519274,0.1338617,0.4101319
09:43:45.814,-10.998332,1.866589,2.96838,-2.0544546,0.6704249,0.17570482,0.25594243,0.36735737
09:43:45.845,-4.9766235,3.1002424,3.8387299,0.6541162,0.6704249,0.17570482,0.25594243,0.36735737
09:43:45.886,-7.8961487,4.632405,-1.4388927,-1.5675455,0.6704249,0.17570482,0.25594243,0.36735737
09:43:45.925,-5.2080965,-0.3308344,5.08937,-0.1498537,0.6704249,0.17570482,0.25594243,0.36735737
09:43:45.965,-4.729474,2.388186,0.85386914,-0.4958063,0.6704249,0.17570482,0.25594243,0.36735737
09:43:46.007,-2.9065266,0.6024924,2.0341048,-0.08997647,0.6704249,0.17570482,0.25594243,0.36735737
09:43:46.014,-2.9065266,0.6024924,2.0341048,-0.08997647,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.045,-3.3330612,0.2750562,-0.5458631,-1.2012894,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.085,-3.2669427,-1.9883866,-0.22408986,-1.8264729,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.124,-1.4214978,-2.6754854,2.9342544,-0.3875762,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.164,-5.202786,-4.5454373,-0.8044829,-3.5175686,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.205,-1.5043832,-5.2580805,0.28846318,-2.1580002,0.21352935,0.13595666,-0.15172923,0.06591892
09:43:46.213,-1.5043832,-5.2580805,0.28846318,-2.1580002,0.6062149,0.7679684,-0.48049825,0.297895
09:43:46.247,-3.5195699,-2.5525851,-1.9903822,-2.6875124,0.6062149,0.7679684,-0.48049825,0.297895
09:43:46.285,-0.5660502,-3.9004521,2.0195909,-0.8156371,0.6062149,0.7679684,-0.48049825,0.297895
09:43:46.327,-1.7891331,-1.8369696,0.13013455,-1.1653227,0.6062149,0.7679684,-0.48049825,0.297895
